location,timestamp
Front Door,2014-01-29T02:17:41.000Z
Front Door,2014-01-29T02:17:43.000Z
Front Door,2014-01-29T02:18:00.000Z
Front Door,2014-01-29T02:18:02.000Z
Front Door,2014-01-29T02:18:04.000Z
Front Door,2014-01-29T02:18:16.000Z
Front Door,2014-01-29T02:18:21.000Z
Front Door,2014-01-29T02:18:26.000Z
Front Door,2014-01-29T02:18:33.000Z
Front Door,2014-01-29T02:18:37.000Z
Front Door,2014-01-29T02:18:38.000Z
Front Door,2014-01-29T02:18:38.000Z
Front Door,2014-01-29T02:18:52.000Z
Front Door,2014-01-29T02:19:03.000Z
Front Door,2014-01-29T02:19:20.000Z
Front Door,2014-01-29T02:19:20.000Z
Near the Party,2014-01-29T02:19:37.000Z
Front Door,2014-01-29T02:19:39.000Z
Front Door,2014-01-29T02:19:43.000Z
Back Left,2014-01-29T02:19:43.000Z
Back Right,2014-01-29T02:19:45.000Z
Front Door,2014-01-29T02:19:57.000Z
Near the Party,2014-01-29T02:19:59.000Z
Front Door,2014-01-29T02:20:01.000Z
Front Door,2014-01-29T02:20:06.000Z
Front Door,2014-01-29T02:20:12.000Z
Front Door,2014-01-29T02:20:17.000Z
Front Door,2014-01-29T02:20:24.000Z
Front Door,2014-01-29T02:20:25.000Z
Front Door,2014-01-29T02:20:27.000Z
Front Door,2014-01-29T02:20:37.000Z
Front Door,2014-01-29T02:20:38.000Z
Front Door,2014-01-29T02:21:00.000Z
Back Right,2014-01-29T02:21:03.000Z
Front Door,2014-01-29T02:21:19.000Z
Another Spot,2014-01-29T02:21:23.000Z
Front Door,2014-01-29T02:21:30.000Z
Front Door,2014-01-29T02:21:32.000Z
Front Door,2014-01-29T02:21:45.000Z
Front Door,2014-01-29T02:22:01.000Z
Front Door,2014-01-29T02:22:05.000Z
Mid Right Spot,2014-01-29T02:22:09.000Z
Mid Right Spot,2014-01-29T02:22:11.000Z
Front Door,2014-01-29T02:22:14.000Z
Another Spot,2014-01-29T02:22:17.000Z
Front Door,2014-01-29T02:22:19.000Z
Mid Right Spot,2014-01-29T02:22:20.000Z
Mid Right Spot,2014-01-29T02:22:23.000Z
Another Spot,2014-01-29T02:22:25.000Z
Front Door,2014-01-29T02:22:26.000Z
Another Spot,2014-01-29T02:22:31.000Z
Mid Right Spot,2014-01-29T02:22:34.000Z
Front Door,2014-01-29T02:22:35.000Z
Front Door,2014-01-29T02:22:35.000Z
Mid Right Spot,2014-01-29T02:22:36.000Z
Front Door,2014-01-29T02:22:45.000Z
Front Door,2014-01-29T02:22:46.000Z
Front Door,2014-01-29T02:22:48.000Z
Front Door,2014-01-29T02:22:58.000Z
Front Door,2014-01-29T02:23:03.000Z
Front Door,2014-01-29T02:23:08.000Z
Near the Front,2014-01-29T02:23:10.000Z
Front Door,2014-01-29T02:23:13.000Z
Front Door,2014-01-29T02:23:14.000Z
Front Door,2014-01-29T02:23:15.000Z
Mid Right Spot,2014-01-29T02:23:15.000Z
Another Spot,2014-01-29T02:23:19.000Z
Front Door,2014-01-29T02:23:20.000Z
Party in the Back,2014-01-29T02:23:30.000Z
Left Side,2014-01-29T02:23:39.000Z
Front Door,2014-01-29T02:23:40.000Z
Another Spot,2014-01-29T02:23:46.000Z
Front Door,2014-01-29T02:23:52.000Z
Party in the Back,2014-01-29T02:23:52.000Z
Left Side,2014-01-29T02:23:53.000Z
Front Door,2014-01-29T02:24:03.000Z
Front Door,2014-01-29T02:24:06.000Z
Front Door,2014-01-29T02:24:07.000Z
Front Door,2014-01-29T02:24:08.000Z
Mid Right Spot,2014-01-29T02:24:10.000Z
Front Door,2014-01-29T02:24:12.000Z
Near the Front,2014-01-29T02:24:14.000Z
Front Door,2014-01-29T02:24:14.000Z
Front Door,2014-01-29T02:24:14.000Z
Back Left,2014-01-29T02:24:17.000Z
Front Door,2014-01-29T02:24:20.000Z
Front Door,2014-01-29T02:24:22.000Z
Front Door,2014-01-29T02:24:22.000Z
Front Door,2014-01-29T02:24:23.000Z
Near the Front,2014-01-29T02:24:23.000Z
Front Door,2014-01-29T02:24:25.000Z
Party in the Back,2014-01-29T02:24:29.000Z
Front Door,2014-01-29T02:24:30.000Z
Near the Front,2014-01-29T02:24:38.000Z
Front Door,2014-01-29T02:24:41.000Z
Front Door,2014-01-29T02:24:46.000Z
